instance,tag,solver,makespan,norm_makespan,soc,norm_soc,total_moves,norm_total_moves,exec_time,satisfied
X15Y15R6.2,0,MICBS-MS,20,1.0,75,1.0273972602739727,75,1.0273972602739727,1.0216163999999992,True
X15Y15R6.3,0,IS,15,1.0,62,1.0,124,2.0,0.4492285000000038,True
X15Y15R6.3,0,PP,15,1.0,62,1.0,62,1.0,0.49006330000000276,True
X15Y15R6.3,0,CBS-SOC,15,1.0,62,1.0,62,1.0,0.4991106999999886,True
X15Y15R6.3,0,GICBS-SOC,15,1.0,62,1.0,62,1.0,0.5080375999999944,True
X15Y15R6.3,0,ICBS-SOC,15,1.0,62,1.0,62,1.0,0.5261737000000011,True
X15Y15R6.3,0,MCBS-SOC,15,1.0,62,1.0,62,1.0,0.5386117999999982,True
X15Y15R6.3,0,MICBS-SOC,15,1.0,62,1.0,62,1.0,0.5058930000000004,True
X15Y15R6.3,0,CBS-MS,15,1.0,62,1.0,62,1.0,0.4766148000000072,True
X15Y15R6.3,0,GICBS-MS,15,1.0,62,1.0,62,1.0,0.502239000000003,True
X15Y15R6.3,0,ICBS-MS,15,1.0,62,1.0,62,1.0,0.49150219999999933,True
X15Y15R6.3,0,MCBS-MS,15,1.0,62,1.0,62,1.0,0.49676130000000285,True
X15Y15R6.3,0,MICBS-MS,15,1.0,62,1.0,62,1.0,0.48336779999999635,True
X15Y15R6.4,0,IS,18,1.0588235294117647,67,1.0151515151515151,66,1.0,0.4405043999999947,True
X15Y15R6.4,0,PP,17,1.0,66,1.0,66,1.0,0.4669626000000022,True
X15Y15R6.4,0,CBS-SOC,17,1.0,66,1.0,66,1.0,0.5396438000000074,True
X15Y15R6.4,0,GICBS-SOC,17,1.0,66,1.0,66,1.0,0.5421538999999882,True
X15Y15R6.4,0,ICBS-SOC,17,1.0,66,1.0,66,1.0,0.5889762999999988,True
